rep,trafego,proto,ber,delay,time,addrsrc,portsrc,addrdest,portdest,nsei,nsei,transfbits,bps
7,500m,reno,1000000,10000,20230911160837.252,10.0.1.20,5001,10.0.3.20,59786,4,0.0-6.0,81145344,107895532
7,500m,reno,1000000,100000,20230911160848.635,10.0.1.20,5001,10.0.3.20,53558,4,0.0-6.0,60816,80507
7,750m,cubic,100000,10000,20230911160859.466,10.0.1.20,5001,10.0.3.20,48862,4,0.0-6.0,6061328,8068679
7,750m,cubic,100000,100000,20230911160911.009,10.0.1.20,5001,10.0.3.20,57792,4,0.0-6.3,83984,106774
7,750m,cubic,1000000,10000,20230911160921.581,10.0.1.20,5001,10.0.3.20,56364,4,0.0-6.0,72549472,96482033
7,750m,cubic,1000000,100000,20230911160932.992,10.0.1.20,5001,10.0.3.20,45522,4,0.0-6.1,24616,32544
7,750m,reno,100000,10000,20230911160943.351,10.0.1.20,5001,10.0.3.20,47916,4,0.0-5.6,1966080,2830010
7,750m,reno,100000,100000,7,750m,reno,1000000,10000,20230911161005.189,10.0.1.20,5001,10.0.3.20,56158,4,0.0-5.2,9961472,15229058
7,750m,reno,1000000,100000,20230911161017.240,10.0.1.20,5001,10.0.3.20,42688,4,0.0-6.0,60816,80980
8,500m,cubic,100000,10000,20230911161028.255,10.0.1.20,5001,10.0.3.20,51458,4,0.0-6.2,4604640,5967716
8,500m,cubic,100000,100000,20230911161039.516,10.0.1.20,5001,10.0.3.20,53258,4,0.0-6.2,55024,71403
8,500m,cubic,1000000,10000,20230911161050.218,10.0.1.20,5001,10.0.3.20,54810,4,0.0-6.0,120885776,161009023
8,500m,cubic,1000000,100000,20230911161101.825,10.0.1.20,5001,10.0.3.20,35058,4,0.0-6.3,40544,51884
8,500m,reno,100000,10000,20230911161111.797,10.0.1.20,5001,10.0.3.20,36760,4,0.0-5.3,2097152,3142866
8,500m,reno,100000,100000,20230911161124.192,10.0.1.20,5001,10.0.3.20,38680,4,0.0-6.2,17376,22571
8,500m,reno,1000000,10000,20230911161134.703,10.0.1.20,5001,10.0.3.20,45188,4,0.0-6.0,139825680,186325984
8,500m,reno,1000000,100000,20230911161146.303,10.0.1.20,5001,10.0.3.20,43210,4,0.0-6.3,88328,112307
8,750m,cubic,100000,10000,20230911161156.353,10.0.1.20,5001,10.0.3.20,47450,4,0.0-5.5,2228224,3258620
8,750m,cubic,100000,100000,20230911161208.222,10.0.1.20,5001,10.0.3.20,34074,4,0.0-6.0,131768,175331
8,750m,cubic,1000000,10000,20230911161220.123,10.0.1.20,5001,10.0.3.20,35854,4,0.0-6.0,78822560,104841196
8,750m,cubic,1000000,100000,20230911161230.561,10.0.1.20,5001,10.0.3.20,50070,4,0.0-6.0,28960,38387
8,750m,reno,100000,10000,20230911161241.688,10.0.1.20,5001,10.0.3.20,54508,4,0.0-6.3,27645792,35350527
8,750m,reno,100000,100000,20230911161252.961,10.0.1.20,5001,10.0.3.20,33712,4,0.0-6.2,30408,38982
8,750m,reno,1000000,10000,20230911161303.592,10.0.1.20,5001,10.0.3.20,41838,4,0.0-6.0,35177712,46902756
8,750m,reno,1000000,100000,9,500m,cubic,100000,10000,20230911161319.851,10.0.1.20,5001,10.0.3.20,42202,4,0.0-1.2,108600,709618
bind failed: Address already in use
20230911161325.930,10.0.1.20,5001,10.0.3.20,49728,4,0.0-6.0,4871072,6477977
9,500m,cubic,100000,100000,20230911161337.370,10.0.1.20,5001,10.0.3.20,51110,4,0.0-6.1,107152,140446
9,500m,cubic,1000000,10000,20230911161347.647,10.0.1.20,5001,10.0.3.20,42090,4,0.0-5.5,9043968,13076687
9,500m,cubic,1000000,100000,20230911161400.512,10.0.1.20,5001,10.0.3.20,35454,4,0.0-6.3,8688,11083
9,500m,reno,100000,10000,20230911161410.692,10.0.1.20,5001,10.0.3.20,53870,4,0.0-5.3,1966080,2949230
9,500m,reno,100000,100000,20230911161422.072,10.0.1.20,5001,10.0.3.20,59210,4,0.0-6.5,46336,57455
9,500m,reno,1000000,10000,20230911161432.556,10.0.1.20,5001,10.0.3.20,57520,4,0.0-6.0,98013968,130369210
9,500m,reno,1000000,100000,20230911161443.931,10.0.1.20,5001,10.0.3.20,42366,4,0.0-6.0,143352,190412
9,750m,cubic,100000,10000,20230911161454.032,10.0.1.20,5001,10.0.3.20,46154,4,0.0-5.2,1835008,2824257
9,750m,cubic,100000,100000,20230911161506.400,10.0.1.20,5001,10.0.3.20,46968,4,0.0-6.2,108600,140601
9,750m,cubic,1000000,10000,20230911161517.143,10.0.1.20,5001,10.0.3.20,54676,4,0.0-6.0,82860352,110308167
9,750m,cubic,1000000,100000,20230911161528.571,10.0.1.20,5001,10.0.3.20,58030,4,0.0-6.0,7240,9597
9,750m,reno,100000,10000,20230911161539.441,10.0.1.20,5001,10.0.3.20,35004,4,0.0-6.0,11702736,15579450
9,750m,reno,100000,100000,20230911161550.875,10.0.1.20,5001,10.0.3.20,47592,4,0.0-6.2,62264,80493
9,750m,reno,1000000,10000,20230911161600.779,10.0.1.20,5001,10.0.3.20,37892,4,0.0-5.1,8126464,12679912
9,750m,reno,1000000,100000,20230911161613.117,10.0.1.20,5001,10.0.3.20,45572,4,0.0-6.1,60816,79208
